value,category,source_type,occurrences,suggested_action,latitude,longitude,sample_objectnummers,notes
Q77850298,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2016-55,
Q819296,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,RP-T-1994-281-13,
Q83756034,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,RP-F-2013-92-2,
Q908006,other-location,remark-hint,1,wikidata-resolve-naar-coordinaten,,,RP-F-2009-226,
stm-00718 ; stm-01207,other-location,ef_review_locatie,1,opsplitsen-naar-enkele-locatie,,,BK-1994-90,
stm-02171,other-location,ef_review_locatie,1,haal-coordinaten-uit-stm-gazetteer,,,NG-2009-37-9,
stm-02334,other-location,ef_review_locatie,1,haal-coordinaten-uit-stm-gazetteer,,,RP-P-OB-206.443,
wereld,other-location,ef_review_locatie,1,negeren-te-breed,,,RP-P-2018-3145,
yankee town,other-location,remark-hint,1,zoek-match-op-naam-in-stm-of-wikidata,,,RP-F-BR-2011-1-72,
Rust en Vredestraat,street,ef_review_locatie,1,koppel-aan-straatlijn-en-kies-representatiepunt,,,SK-A-4481,
