objectnummer,titel,probleem_bucket,geografisch_trefwoord,geo_detail_termen,geo_detail_sources,geo_detail_broader_terms
RP-F-1994-12-34,"Korjaal en Caraïebse woning op de Koloniale Tentoonstelling, Amsterdam 1883",mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-35,"Johannes Kojo met trommels en korjalen op de Koloniale Tentoonstelling, Amsterdam 1883",mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-36,Portret van Kwamina Baja,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-37,Portret van Kwamina Baja,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-38,Portret van Kwamina A-Pé-Sé,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-39,Portret van Kwamina A-Pé-Sé,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-40,Portret van Kojo-A-Slen-Gri,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-41,Portret van Kojo-A-Slen-Gri,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-42,Portret van Johannes Kojo,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-43,Portret van Johannes Kojo,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-44,"Marronwoning op de Koloniale Tentoonstelling, Amsterdam 1883",mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-45,"Marronkorjalen met toeschouwers op de Koloniale Tentoonstelling, Amsterdam 1883",mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-46,"Groepsportret van Surinaamse vrouwen op de Koloniale Tentoonstelling, Amsterdam 1883",mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-67,"Plantagewoning en een korjaal op de Koloniale Tentoonstelling, Amsterdam 1883",mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-68,"Twee Surinaamse vrouwen voor een plantagewoning op de Koloniale Tentoonstelling, Amsterdam 1883",mixed-no-coords,Amsterdam,Amsterdam,edit,
