objectnummer,titel,map_ready_termen,regio
RP-F-F00938-15,Gezicht op de Gravenstraat en de St. Petrus en Pauluskerk in Paramaribo vanaf een toren,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
RP-F-F00938-16,Man poserend tussen de palmen van de Gouvernementspalmentuin in Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
SK-C-1760,Koopman en een tot slaaf gemaakte bediende,Suriname (Zuid-Amerika),suriname
NG-2015-9-2,Familiealbum van de familie Boekhoudt,Suriname (Zuid-Amerika),suriname
NG-2015-9-4,Uit mijn verleden; Bijdrage tot de kennis van Suriname,Suriname (Zuid-Amerika),suriname
BI-B-FM-141-44,"Uniformen voor de witte en zwarte officieren van de Surinaamse Schutterij (van Paramaribo) van de West-Indische troepen, 1845",Suriname (Zuid-Amerika),suriname
NG-2016-2,Gouden doosje met initialen LHE en RHE,Suriname (Zuid-Amerika),suriname
NG-2008-4-1,Anton de Kom (1898-1945),Suriname (Zuid-Amerika),suriname
NG-2008-4-2,"Los stuk hout, horend bij het beeld van Anton de Kom",Suriname (Zuid-Amerika),suriname
NG-2008-4-3,"Losse stukken hout, horend bij het beeld van Anton de Kom",Suriname (Zuid-Amerika),suriname
RP-F-2016-47-1,"Paramaribo, Jodenbreestraat. 1975",Paramaribo (stad),suriname
NG-2011-18-1-23,Joop den Uyl en verslaggevers in het Torarica Hotel in Paramaribo,Paramaribo (stad),suriname
NG-2011-18-1-24,Jan Pronk en Joop den Uyl in vliegenierspak vlak voor hun vertrek van Paramaribo naar Curaçao,Paramaribo (stad),suriname
NG-2011-18-1-25,Joop den Uyl in vliegenierspak vlak voor zijn vertrek van Paramaribo naar Curaçao,Paramaribo (stad),suriname
RP-F-2016-47-3,"Paramaribo, Poptjii-djari. 1975",Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
RP-F-2016-47-4,Paramaribo. 1973,Paramaribo (stad),suriname
RP-F-2016-47-5,"Paramaribo, Poptjii-djari. 1975",Paramaribo (stad),suriname
RP-F-2016-47-6,"Paramaribo, Spanhoek. 1973",Paramaribo (stad),suriname
RP-F-2016-47-7,"Paramaribo, etalage. 1975",Paramaribo (stad),suriname
RP-F-2016-47-8,Paramaribo. 1975,Paramaribo (stad),suriname
RP-F-2016-47-14,"Paramaribo, 's-Lands Weldadigheidsgesticht. 1975",Paramaribo (stad),suriname
RP-F-2016-47-15,"Paramaribo, 's-Lands Weldadigheidsgesticht. 1975",Paramaribo (stad),suriname
RP-F-2016-47-18,"Djoemoe, streekziekenhuis. 1977",Suriname (Zuid-Amerika),suriname
RP-F-2016-47-19,Paramaribo. 1973,Paramaribo (stad),suriname
RP-F-2016-47-22,"Paramaribo, margarinefabriek. 1975",Paramaribo (stad),suriname
RP-F-2016-47-23,"Paramaribo, Abra Brokki. 1975",Paramaribo (stad),suriname
RP-F-2016-47-27,"Uitkijk, hindostaanse boeren. 1973",Suriname (Zuid-Amerika),suriname
RP-F-2016-47-28,"Uitkijk, hindostaanse boeren. 1973",Suriname (Zuid-Amerika),suriname
RP-F-2016-47-39,"Djoemoe, polikliniek. 1977",Suriname (Zuid-Amerika),suriname
