objectnummer,titel,geografisch_trefwoord,qid
RP-F-F01203-DO,Gezelschap drinkt koffie in etablissement$Bij 'n kopje koffie!,,
RP-F-F01203-DP,"Gezelschap aan boord van de S.S. 'Van Rensselaer'$Aan boord van de „Van Rensselaer"" Juni 1924",,
RP-F-F01203-DQ,"Gezelschap aan boord van de S.S. 'Van Rensselaer'$Aan boord van de „Van Rensselaer"" Juni 1924",,
RP-F-F01203-DR,"S.S. 'Nickerie', vermoedelijk in een Nederlandse haven$met deze boot 25 maart '24 uit de West vertrokken",Nederland,
RP-F-F01203-DS,"Gezelschap aan boord van de S.S. 'Van Rensselaer'$Aan boord van de ""van Rensselaer"" Juni 1924",,
RP-F-F01203-DT,Portret van een vrouw en een klein meisje$Januari 1910,,
RP-F-F01203-DU,Portret van een vrouw en een jong meisje$December 1913,,
RP-F-F01203-DV,Portret van een jongen en een meisje met een handdoek om de middel geslagen$Carpentier en Dempsey,,
RP-F-F01203-DW,"Familieportret van man, vrouw, kinderen met kat",,
RP-F-F01203-DX,"Groep vrouwen en kinderen staand en zwemmend in een rivier, mogelijk in Suriname",Suriname (Zuid-Amerika),
RP-F-2009-228,"Na de verkiezingsoverwinning van de NPK bij het beeld van Kwakoe, Paramaribo, 1973",Suriname (Zuid-Amerika)$Paramaribo (stad),
RP-F-F01203-DY,Twee vrouwen bij een woonhuis,,
NG-2009-49-2,Drukkerij Het Parool,Amsterdam,
NG-2009-55-2,"De familie van de Rotterdamse Surinamer Chikoeri in Saramacca, Suriname",Suriname (Zuid-Amerika)$Saramacca,
RP-F-F01311,Koningin Juliana speldt een onderscheiding op bij een militair op het Gouvernementsplein in Suriname$Princess Juliana's visit to Surinam,Paramaribo (stad),
RP-F-F01354,Prinses Beatrix opent een ziekenhuis afdeling voor mensen die lijden aan kinderverlamming$Bezoek van Prinses Beatrix aan Suriname,Suriname (Zuid-Amerika),
NG-2009-93,"Fotoalbum van het echtpaar Jetten in Moengo, Suriname",Moengo$Suriname (Zuid-Amerika),
NG-2009-94,"Ensemble ingenieur Jetten en familie in Moengo, Suriname",Moengo,
NG-2009-73-4,Surinaams-Javaanse vrouw in Nederland,Nederland$Suriname (Zuid-Amerika),
NG-2009-73-8,Surinaamse vrouw in Nederland,Nederland$Suriname (Zuid-Amerika),
NG-2009-73-10,Surinaams-Hindostaanse vrouw in Nederland,Nederland$Suriname (Zuid-Amerika),
NG-2009-73-8-A,Surinaamse vrouw in Nederland,Nederland$Suriname (Zuid-Amerika),
RP-F-F01310,Prinses Juliana met Amerikaanse vliegeniers voor een vliegtuig$Princess Juliana with the crew of the American escorting plane,Suriname (Zuid-Amerika),
RP-F-F01312,Prinses Juliana loopt langs militaire troepen in Suriname$Princess Juliana's visit to Surinam,Suriname (Zuid-Amerika),
RP-F-2009-206,"Paramaribo, ’s Landsweldadigheidsgesticht, 1975",Paramaribo (stad),
RP-F-2009-221,"Stoelmanseiland, streekziekenhuis langs de Marowijne, 1977",Stoelmanseiland,
RP-F-2009-225,"Fandraki, langs de Marowijnerivier, 1975",Marowijne,
