recordnummer;objectnummer;titel;beschrijving;vervaardiger;datering.datum.start;datering.datum.eind;objectnaam;materiaal;classificatiecode;inhoud.classificatie.code;geografisch_trefwoord;inhoud.hoofdmotief.algemeen;inhoud.hoofdmotief.specifiek;inhoud.onderwerp;inhoud.persoon.naam;PID_data.URI;PID_werk.URI
479236;NG-2009-130-22;Gezelschap bij de Manjaboom op plantage Morgenstond;Gezelschap met kinderen bij de Manjaboom op plantage Morgenstond. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname. De vrouw tweede van links is Anna Rühmann van plantage Clevia en de man tweede van rechts is haar echtgenoot Justus Rinia Cornelis Gonggrijp. De man zittend links is Jacques François Spiering, gezagvoerder van plantage Morgenstond.;anoniem;1910;1910;foto;fotodrager;"";25K182$61B113;Suriname (Zuid-Amerika)$Plantage Morgenstond;overzeese geschiedenis$economische geschiedenis$plantage;"";"";"";https://data.rijksmuseum.nl/200515224;https://id.rijksmuseum.nl/200515224
479237;NG-2009-130-23;Mannengezelschap poseert tussen de palmen;Een groep mannen, deels militairen, poseert tussen de palmen. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1905;1905;foto;fotodrager;"";61B113;Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis$plantage;"";"";"";https://data.rijksmuseum.nl/200515225;https://id.rijksmuseum.nl/200515225
479238;NG-2009-130-24;Gezelschap aan boord van een bananenboot;Gezelschap poserend aan boord van een schip met o.a. Maria Gonggrijp-Boom, Evelyn Magers en Hélène Fontaine. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1916;1916;foto;fotodrager$karton;"";61BB113;Suriname (Zuid-Amerika);overzeese geschiedenis;"";"";Gonggrijp, Maria;https://data.rijksmuseum.nl/200515226;https://id.rijksmuseum.nl/200515226
479239;NG-2009-130-25;Andries Boom en wetenschapper Constant J.J. van Hall aan tafel met Willem de knecht;Interieur met Andries Boom en wetenschapper Constant J.J. van Hall zittend aan een tafel, achter hen staat Willem de knecht. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname. Aan de wand achter de tafel hangt een palempore of sprei met een boom met bloemen.$Interieur met Andries Boom en wetenschapper Constant J.J. van Hall zittend aan een tafel, achter hen staat Willem de knecht. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1908-08;1908-08;foto;fotodrager;"";42F54;Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis$plantage;"";"";Boom, Andries Augustus$Hall, Constant Johann Jakob  van;https://data.rijksmuseum.nl/200515227;https://id.rijksmuseum.nl/200515227
479240;NG-2009-130-26;Kokospalm op plantage Morgenstond;Een kokospalm op plantage Morgenstond in Suriname. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;Gonggrijp, Justus;1917-06;1917-06;foto;fotodrager;"";25G3(COCONUT-TREE);Suriname (Zuid-Amerika)$Plantage Morgenstond;overzeese geschiedenis$economische geschiedenis$plantage;"";"";"";https://data.rijksmuseum.nl/200515228;https://id.rijksmuseum.nl/200515228
479241;NG-2009-130-27;"Feestelijk gezelschap in Suriname, onder wie Maria Gonggrijp (""Poppie"")";Groepsfoto van een feestelijk gezelschap in Suriname, onder wie Maria Gonggrijp. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1912-04;1912-04;foto;fotodrager;"";61B113;Suriname (Zuid-Amerika);overzeese geschiedenis$feest;"";"";Gonggrijp, Maria;https://data.rijksmuseum.nl/200515229;https://id.rijksmuseum.nl/200515229
479242;NG-2009-130-28;Gezelschap op plantage Clevia;Gezelschap bestaande uit een Nederlands gezin en een Surinaamse vrouw, staande bij een rails, op plantage Clevia. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1925;1925;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Clevia;overzeese geschiedenis$economische geschiedenis$plantage;"";"";"";https://data.rijksmuseum.nl/200515230;https://id.rijksmuseum.nl/200515230
479243;NG-2009-130-29;Constant van Hall en zijn vrouw;Interieur met Constant van Hall en een vrouw, vermoedelijk met zijn echtgenote, beiden zittend lezend aan een tafel. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1910;1910;foto;fotodrager$karton;"";"";Suriname (Zuid-Amerika);overzeese geschiedenis;"";"";Hall, Constant Johann Jakob  van;https://data.rijksmuseum.nl/200515231;https://id.rijksmuseum.nl/200515231
479244;NG-2009-130-30;Maria Gonggrijp met gezelschap in een nederzetting in Suriname$Maria Gonggrijp met gezelschap in een indianenkamp;Maria Gonggrijp met een gezelschap op bezoek in een nederzetting. In deze nederzetting wonen nazaten van de oorspronkelijke bewoners van Suriname. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.$Maria Gonggrijp met een gezelschap op bezoek in een indianenkamp in Suriname. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;Gonggrijp, Justus;1910;1910;foto;fotodrager;"";25I2;Suriname (Zuid-Amerika);overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Gonggrijp, Maria;https://data.rijksmuseum.nl/200515232;https://id.rijksmuseum.nl/200515232
479245;NG-2009-130-31;Feestelijk gezelschap;Feestelijk gezelschap. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1910;1910;foto;fotodrager;"";61B113$48C853;Suriname (Zuid-Amerika);overzeese geschiedenis$sociale geschiedenis$feest;"";"";"";https://data.rijksmuseum.nl/200515233;https://id.rijksmuseum.nl/200515233
479246;NG-2009-130-32;Familie Gonggrijp met vrienden op plantage Clevia;Groepsportret van de familie Gonggrijp met vrienden op plantage Clevia. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1916-09-01;1916-09-01;foto;fotodrager;"";25K182;Suriname (Zuid-Amerika)$Plantage Clevia;overzeese geschiedenis$plantage;"";"";Gonggrijp, Justus$Gonggrijp, Maria$Gonggrijp-Rühmann, Anna;https://data.rijksmuseum.nl/200515234;https://id.rijksmuseum.nl/200515234
479247;NG-2009-130-33;Portret van Justus Gonggrijp;Portret van Justus Gonggrijp. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;Atelier Frans Hals;1928-07;1928-07;foto;fotodrager$karton;"";"";Suriname (Zuid-Amerika);"";"";"";Gonggrijp, Justus;https://data.rijksmuseum.nl/200515235;https://id.rijksmuseum.nl/200515235
479256;NG-2009-130-34;Echtpaar Justus Gonggrijp en Anna Rühmann-Gonggrijp op plantage Clevia;Het echtpaar Justus Gonggrijp en Anna Rühmann-Gonggrijp op plantage Clevia in Suriname. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1911;1911;foto;fotodrager;"";25K182;Suriname (Zuid-Amerika);overzeese geschiedenis$plantage;"";"";Gonggrijp, Justus$Gonggrijp-Rühmann, Anna;https://data.rijksmuseum.nl/200515244;https://id.rijksmuseum.nl/200515244
479257;NG-2009-130-35;Echtpaar Justus Gonggrijp en Anna Rühmann-Gonggrijp;Het echtpaar Justus Gonggrijp en Anna Rühmann-Gonggrijp op een plantage in Suriname. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1912;1912;foto;fotodrager;"";"";Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis$plantage;"";"";Gonggrijp, Justus$Gonggrijp-Rühmann, Anna;https://data.rijksmuseum.nl/200515245;https://id.rijksmuseum.nl/200515245
479258;NG-2009-45-31;Zwarte Dinsdag in Paramaribo, 7 februari 1933;Zwarte Dinsdag in Paramaribo, 7 februari 1933. Groep mensen op open terrein tussen gebouwen op het Gouvernementsplein.;Wessels, Eddy;1933-02-07;1933-02-07;foto;fotodrager;"";"";Paramaribo (stad);overzeese geschiedenis$economische geschiedenis$sociale geschiedenis$demonstratie;"";Zwarte Dinsdag (1933);Kom, Anton de;https://data.rijksmuseum.nl/200515246;https://id.rijksmuseum.nl/200515246
479259;NG-2009-45-32;Zwarte Dinsdag in Paramaribo, 7 februari 1933;Zwarte Dinsdag in Paramaribo, 7 februari 1933. Groep samengedrongen mensen op open terrein voor wit gebouw op het Gouvernementsplein.;Wessels, Eddy;1933-02-07;1933-02-07;foto;fotodrager;"";"";Paramaribo (stad)$Gouvernementsplein;overzeese geschiedenis$economische geschiedenis$sociale geschiedenis$demonstratie;"";Zwarte Dinsdag (1933);Kom, Anton de;https://data.rijksmuseum.nl/200515247;https://id.rijksmuseum.nl/200515247
479264;NG-2009-94-48;Jongetje met tropenhelm op een weggetje;Jongetje met tropenhelm op een weggetje. Onderdeel van het ensemble met foto's van de familie van ingenieur Jetten in de mijnbouwstad Moengo in Suriname.;anoniem;1925;1927;foto;fotodrager;"";"";Moengo;overzeese geschiedenis$economische geschiedenis$mijnbouw;"";"";Jetten, familie;https://data.rijksmuseum.nl/200515252;https://id.rijksmuseum.nl/200515252
