recordnummer;term;match_wiki;Qids;broader_term;wikidata;PID_overige.URI;PID_overige.URI2;PID_overige.URI3;wiki_id;wiki_id_broader;wiki_id_query;coords
119581;Jodenbreestraat (Paramaribo);Jodenbreestraat;http://www.wikidata.org/entity/Q98124865;Paramaribo (stad);http://www.wikidata.org/entity/Q98124865;;;;Q98124865;;wd:Q98124865;Point(-55.1589619 5.8259886)
105922;Jodensavanne;Jodensavanne;http://www.wikidata.org/entity/Q648787;Para;http://www.wikidata.org/entity/Q648787;;;;Q648787;;wd:Q648787;Point(-54.952979323 5.413277023)
567342;Keizerstraat;;;Paramaribo (stad);http://www.wikidata.org/entity/Q4115432;http://www.wikidata.org/entity/Q4115432;;;Q4115432;;wd:Q4115432;Point(-55.1594 5.82833)
103862;Kerkplein (Paramaribo);Kerkplein 8, Paramaribo;http://www.wikidata.org/entity/Q107351113;Paramaribo (stad);http://www.wikidata.org/entity/Q107351113;;;;Q107351113;;wd:Q107351113;Point(-55.1550147 5.8271344)
559756;Kerkstraat (Paramaribo);;;Paramaribo (stad);http://www.wikidata.org/entity/Q3001;http://vocab.getty.edu/tgn/7015387;http://www.wikidata.org/entity/Q3001;;Q3001;;wd:Q3001;Point(-55.166666666 5.866666666)
107558;Klaaskreek;Klaaskreek;http://www.wikidata.org/entity/Q2743532;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q2743532;https://sws.geonames.org/12088673/;;;Q2743532;;wd:Q2743532;Point(-55.076388888 5.180555555)
103414;Klipsteenstraat;Klipstenenstraat;http://www.wikidata.org/entity/Q110189257;Paramaribo (stad);http://www.wikidata.org/entity/Q110189257;;;;Q110189257;;wd:Q110189257;Point(-55.1568401 5.8283745)
561435;Klooster De Voorzienigheid;Henck Arronstraat 14, Paramaribo;http://www.wikidata.org/entity/Q107351014;Paramaribo (stad);http://www.wikidata.org/entity/Q107351014;;;;Q107351014;;wd:Q107351014;Point(-55.1587547 5.8308602)
103401;Knuffelsgracht;Knuffelsgracht;http://www.wikidata.org/entity/Q107435471;Paramaribo (stad);http://www.wikidata.org/entity/Q107435471;;;;Q107435471;;wd:Q107435471;Point(-55.1565908 5.8260071)
103872;Koeliedepot;Koeliedepôt;http://www.wikidata.org/entity/Q110559886;Paramaribo (stad);http://www.wikidata.org/entity/Q110559886;;;;Q110559886;;wd:Q110559886;Point(-55.147971268 5.827871863)
574123;Koffiekamp;;;Brokopondo;http://www.wikidata.org/entity/Q106285572;http://www.wikidata.org/entity/Q106285572;;;Q106285572;;wd:Q106285572;Point(-55.036666666 4.953333333)
103880;Kwakoegron;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q2564453;http://vocab.getty.edu/tgn/1024829;http://www.wikidata.org/entity/Q2564453;;Q2564453;;wd:Q2564453;Point(-55.344722222 5.248055555)
574120;Kwatta (plantage);;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1757289;http://www.wikidata.org/entity/Q1757289;;;Q1757289;;wd:Q1757289;Point(-55.261111111 5.856111111)
103870;Kwattaweg;Kwattaweg;http://www.wikidata.org/entity/Q110189262;Paramaribo (stad);http://www.wikidata.org/entity/Q110189262;;;;Q110189262;;wd:Q110189262;Point(-55.1751499 5.8372748)
574121;Langatabbetje;;;Sipaliwini;http://www.wikidata.org/entity/Q2782195;http://www.wikidata.org/entity/Q2782195;;;Q2782195;;wd:Q2782195;Point(-54.441666666 4.991666666)
103873;Maäbo Heuvel;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q23722960;http://www.wikidata.org/entity/Q23722960;https://sws.geonames.org/221912/;;Q23722960;;wd:Q23722960;Point(43.100833333 11.944166666)
