

recordnummer,objectnummer,PID_overige.URI,wikidata_url,wikimedia_url
241207,RP-F-1994-12-16,http://hdl.handle.net/10934/RM0001.COLLECT.241207,,"https://commons.wikimedia.org/wiki/File:Portret_van_Johan_Ali-Wa-Ja,_en_face_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-16.jpg"
241208,RP-F-1994-12-17,http://hdl.handle.net/10934/RM0001.COLLECT.241208,,"https://commons.wikimedia.org/wiki/File:Portret_van_Johan_Ali-Wa-Ja,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-17.jpg"
241209,RP-F-1994-12-18,http://hdl.handle.net/10934/RM0001.COLLECT.241209,,"https://commons.wikimedia.org/wiki/File:Portret_van_Majoera-Ka-Ma,_en_face_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-18.jpg"
241210,RP-F-1994-12-19,http://hdl.handle.net/10934/RM0001.COLLECT.241210,,"https://commons.wikimedia.org/wiki/File:Portret_van_Majoera-Ka-Ma,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-19.jpg"
241213,RP-F-1994-12-20,http://hdl.handle.net/10934/RM0001.COLLECT.241213,,"https://commons.wikimedia.org/wiki/File:Portret_van_Maja-Roekama,_en_face_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-20.jpg"
241216,RP-F-1994-12-21,http://hdl.handle.net/10934/RM0001.COLLECT.241216,,"https://commons.wikimedia.org/wiki/File:Portret_van_Maja-Roekama,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-21.jpg"
241217,RP-F-1994-12-22,http://hdl.handle.net/10934/RM0001.COLLECT.241217,,"https://commons.wikimedia.org/wiki/File:Portret_van_Hendrik_Jawarina,_en_face_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-22.jpg"
241218,RP-F-1994-12-23,http://hdl.handle.net/10934/RM0001.COLLECT.241218,,"https://commons.wikimedia.org/wiki/File:Portret_van_Hendrik_Jawarina,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-23.jpg"
241219,RP-F-1994-12-24,http://hdl.handle.net/10934/RM0001.COLLECT.241219,,"https://commons.wikimedia.org/wiki/File:Portret_van_Johan_Koemayara,_en_face_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-24.jpg"
241220,RP-F-1994-12-25,http://hdl.handle.net/10934/RM0001.COLLECT.241220,,"https://commons.wikimedia.org/wiki/File:Portret_van_Johan_Koemayara,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-25.jpg"
